Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
GO:0004527	exonuclease activity	 15	0.302496509430501	0.928961961772567	7	8	1614	2742	1.25835903763109
GO:0004535	poly(A)-specific ribonuclease activity	  5	1	1	0	5	1621	2745	0
GO:0004540	ribonuclease activity	  6	1	1	0	6	1621	2744	0
GO:0004550	nucleoside diphosphate kinase activity	  7	0.235439100009758	0.874292856505159	4	3	1617	2747	1.54084780118093
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	  8	0.621026637444471	1	3	5	1618	2745	1.01118136952498
GO:0004601	peroxidase activity	 13	0.341050026682105	0.969924578864316	6	7	1615	2743	1.24453091633844
GO:0004602	glutathione peroxidase activity	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
GO:0004622	lysophospholipase activity	  5	1	1	0	5	1621	2745	0
GO:0004623	phospholipase A2 activity	  7	0.800202785632254	1	2	5	1619	2745	0.770423900590465
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	  9	0.208584409041611	0.874292856505159	5	4	1616	2746	1.49804647337035
GO:0004697	protein kinase C activity	  5	0.268307979032342	0.874292856505159	3	2	1618	2748	1.61789019123998
GO:0004707	MAP kinase activity	  5	0.611006382880356	1	2	3	1619	2747	1.07859346082665
GO:0004708	MAP kinase kinase activity	  7	0.961092643799227	1	1	6	1620	2744	0.385211950295232
GO:0004709	MAP kinase kinase kinase activity	  5	1	1	0	5	1621	2745	0
GO:0004712	protein serine/threonine/tyrosine kinase activity	 10	0.933226906869315	1	2	8	1619	2742	0.539296730413325
GO:0004713	protein tyrosine kinase activity	 37	0.986249909768343	1	8	29	1613	2721	0.58302349233873
GO:0004714	transmembrane receptor protein tyrosine kinase activity	 14	0.824696881307542	1	4	10	1617	2740	0.770423900590465
GO:0004715	non-membrane spanning protein tyrosine kinase activity	 12	0.707756305017222	1	4	8	1617	2742	0.898827884022209
GO:0004721	phosphoprotein phosphatase activity	 40	0.40831494342251	1	16	24	1605	2726	1.07859346082665
GO:0004722	protein serine/threonine phosphatase activity	 14	0.231314488765893	0.874292856505159	7	7	1614	2743	1.34824182603331
GO:0004725	protein tyrosine phosphatase activity	 29	0.381362056343023	0.98536875238176	12	17	1609	2733	1.11578633878619
GO:0004806	triglyceride lipase activity	  5	0.901559628365078	1	1	4	1620	2746	0.539296730413325
