Term	Accession	Genes (tot)	Stat (non-dir.) p	p adj (non-dir.)	Significant..in.gene.set.	Non.significant..in.gene.set.	Significant..not.in.gene.set.	Non.significant..not.in.gene.set.	effect.size
IPR013320	Concanavalin A-like lectin/glucanase domain superfamily	12	0.00505810927045771	0.481679058395989	7	5	246	944	2.77140974967062
IPR013761	Sterile alpha motif/pointed domain superfamily	14	0.828591604225459	1	2	12	251	937	0.67871259175607
IPR013783	Immunoglobulin-like fold	47	0.0245382903581741	0.561313391943233	16	31	237	918	1.61735766546127
IPR014001	Helicase superfamily 1/2, ATP-binding domain	 8	0.849967928409433	1	1	7	252	942	0.593873517786561
IPR014352	FERM/acyl-CoA-binding protein superfamily	 7	0.809672690498166	1	1	6	252	943	0.67871259175607
IPR014710	RmlC-like jelly roll fold	 5	1	1	0	5	253	944	0
IPR014756	Immunoglobulin E-set	15	0.641655144013103	1	3	12	250	937	0.950197628458498
IPR014768	Rho GTPase-binding/formin homology 3 (GBD/FH3) domain	 5	0.0658874761054034	0.753588007955551	3	2	250	947	2.85059288537549
IPR015425	Formin, FH2 domain	 5	0.0658874761054034	0.753588007955551	3	2	250	947	2.85059288537549
IPR015655	Protein phosphatase 2C family	 5	1	1	0	5	253	944	0
IPR015915	Kelch-type beta propeller	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR015943	WD40/YVTN repeat-like-containing domain superfamily	38	0.973964808766909	1	4	34	249	915	0.500104014978157
IPR016024	Armadillo-type fold	41	0.659235736314508	1	8	33	245	916	0.927022076544876
IPR016130	Protein-tyrosine phosphatase, active site	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR016135	Ubiquitin-conjugating enzyme/RWD-like	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR016181	Acyl-CoA N-acyltransferase	 6	1	1	0	6	253	943	0
IPR016201	PSI domain	 7	0.45222871899472	1	2	5	251	944	1.35742518351214
IPR017441	Protein kinase, ATP binding site	33	0.996322624706552	1	2	31	251	918	0.287938675290454
IPR017452	GPCR, rhodopsin-like, 7TM	13	0.794732705806146	1	2	11	251	938	0.730921252660383
IPR017455	Zinc finger, FYVE-related	 5	1	1	0	5	253	944	0
IPR017850	Alkaline-phosphatase-like, core domain superfamily	 7	0.165970623172046	1	3	4	250	945	2.03613777526821
IPR017884	SANT domain	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR017907	Zinc finger, RING-type, conserved site	 6	0.758609265997673	1	1	5	252	944	0.791831357048748
IPR017970	Homeobox, conserved site	 7	0.165970623172046	1	3	4	250	945	2.03613777526821
IPR017981	GPCR, family 2-like	 5	0.693914503600863	1	1	4	252	945	0.950197628458498
IPR017986	WD40-repeat-containing domain	29	0.991364583938342	1	2	27	251	922	0.327654354640861
